xdiff,ydiff,zdiff,rolldiff,pitchdiff,yawdiff
-0.0009551215993979234,-0.00030921091210794893,-2.1568157476503647e-05,-0.6460004260600873,-5.345014533843916,-0.02276098663920384
-0.0009637340336493272,-0.0002930239880314378,-8.892785552666593e-05,-0.6463741612355833,-5.344980213091208,-0.02286251134467405
-0.0009506505899494477,-0.00030805053352361833,-0.00014319753320973794,-0.6463802171398114,-5.344973229237125,-0.02306576822557104
-0.0009502887314652431,-0.00032984910915118126,-0.00023426381046054434,-0.6460799273949664,-5.344341492963428,-0.023885429712004747
-0.0009392579571809723,-0.00041349868197171347,-0.000138785873449343,-0.645720074935896,-5.343553542068532,-0.024252712440531884
-0.0008363978511077841,-0.0005076064116652512,-5.029703981224154e-05,-0.6456279990827796,-5.344627026423184,-0.024190406684401346
-0.0007946983596016644,-0.0005606725195788087,-8.0325222262978e-05,-0.6459057396359988,-5.346361322348822,-0.024298291326658353
-0.000698432202773186,-0.0005533103222710167,-0.00023120411538529728,-0.6456069203494108,-5.348060151335007,-0.025203887634908752
-0.0003634385385422878,-0.0006890962282027902,-0.00020784569987936097,-0.643724270614128,-5.351628532868709,-0.025876828337448712
0.00013824860711866838,-0.0009292411124612876,-0.00018686610882528987,-0.6407090128169448,-5.360634432409224,-0.0262666830945087
0.0005336295963737636,-0.0010479663859290778,-0.00036702029495194743,-0.6369304000441744,-5.373960141574168,-0.027418090883655696
0.0008770913082516707,-0.0011210971054520513,-0.0004353682721371932,-0.6322038325614441,-5.390588493517766,-0.028103265623879284
0.0011022998446063026,-0.0011772236038841144,-0.00038326293064405714,-0.6272064156020971,-5.4094513796919905,-0.028274516475696287
0.0012256627500821238,-0.0012194119134637527,-0.0003646859668872682,-0.6221865792508481,-5.429993952896622,-0.028149464576314245
0.001491911363346532,-0.0012940986739153892,-0.0004111284099085344,-0.6163137516228012,-5.4530070557668715,-0.02817150520636813
0.00191220507277437,-0.0014214907652938535,-0.0004143073696438182,-0.6091169115777817,-5.477578703866385,-0.02795472540418803
0.002423951133247962,-0.0014725638590534218,-0.00045809817742376024,-0.6005945042500915,-5.505557097916283,-0.027360494468267577
0.0030436914623199196,-0.0015388037938847132,-0.0005606682174454924,-0.5897892409982373,-5.536926156964498,-0.027423388196734073
0.0027560125768196914,-0.0013982154949500059,-0.0003921993062040441,-0.5822399174977071,-5.566135031308202,-0.026710299759574577
0.002594302453594266,-0.001329387309239649,-0.0002497575602357083,-0.5744499126370328,-5.59542316515545,-0.026301909336319373
0.002492284893004043,-0.001257522188547855,-0.00015196220606883415,-0.5672327319198853,-5.623557422111968,-0.025661002955297954
0.002359520813033318,-0.0012331367673349414,-8.438530804494304e-05,-0.5608358629350016,-5.651160739062008,-0.024622978941635378
0.0021354198840019614,-0.0012018234142207596,-0.0001366029809515279,-0.5566658384234342,-5.677821966854483,-0.024230873479280768
0.002125870953787294,-0.0011121463579812918,-0.0002130188310821568,-0.5520604379136349,-5.704045901924067,-0.02557927657434385
0.002979345675741648,-0.0011072407416940488,-5.742939457109575e-05,-0.5423464008495331,-5.732249426265318,-0.025825788777137093
0.0036538909194404317,-0.0011232091980496461,0.00019779068529823807,-0.5315472361183089,-5.769165228185402,-0.024863630304557273
0.0037633289607464896,-0.0010668964769599554,0.0002777413328554079,-0.5226081435903249,-5.809795274656987,-0.025338378435287953
0.0038395408575856074,-0.000874061583486796,0.00021271196813982263,2.6142544319103633,-0.40040628380619614,0.046380116167969644
0.003900488620354206,-0.0006367087683691874,0.00010913524520922424,2.5167523872670925,-0.37539993865468935,0.03110630327837803
0.003910399582262004,-0.0003909060487704008,0.00011355640530430477,2.4133115222942245,-0.34786077124672854,0.02098427101242257
0.004029176696717027,-0.0003308894598664791,0.00020273390511604816,2.3179243318883307,-0.3240815643527788,0.012752496385720936
0.003918899108329002,-0.00043022667202763376,0.0002960154493437672,2.2203814506230946,-0.30743783939461,-0.004694310852542837
0.0038255466789049175,-0.00041886583450817527,0.0003442647128581444,2.125899741020334,-0.2985023066178991,-0.03335716685515653
0.003345623627910979,-0.0002119115211833278,0.00013855696629300196,2.0393565907361877,-0.289453823967071,-0.05711306066865557
0.0032093295215405576,2.4076729608912828e-05,-5.467167383110816e-05,1.9554337542136664,-0.27530482101016895,-0.06841132378776782
0.003099860575196539,0.0002151214411454938,-0.00027847476879488964,1.875983626534909,-0.25891222415008874,-0.07197919239061915
0.0030825922053362848,0.000354892726657452,-0.0001305132894779959,1.796007068886387,-0.2412266342237417,-0.07072205050721297
0.0036869526982043765,0.000715364332270263,-0.0001711907156347614,1.71298540404953,-0.22324361204285115,-0.06939646962694475
0.0039848448496489774,0.0010240814719044145,-7.982284450802624e-05,1.6164699580281487,-0.20333146261871926,-0.0672613374191998
0.003962196634616805,0.001182689631972711,-2.4778914728629253e-05,1.5108328042393029,-0.18413470057898795,-0.06614201981008805
0.0033628018706058915,0.0010057573713458945,0.0001246724580400982,1.4038723448870227,-0.16752012192401278,-0.06625794557564411
0.0031009903178324805,0.0009194483338208492,0.00030172105478726285,1.3127544722348023,-0.15701166053816396,-0.069973586831765
0.0028677502300434587,0.0009276002557527252,0.00029742438040741837,1.2299037377401636,-0.14939403986052735,-0.07585803387401599
0.002245898272098562,0.0006445150461076854,0.00012002312480430266,1.1569337775670623,-0.14270631484018415,-0.07995270544927284
0.0020197280309144083,0.0005857292641025524,-6.910321349051785e-05,1.0944513238741724,-0.13580053579156548,-0.08094949539662215
0.0019556761252494392,0.0005476371087722032,-0.00018603570089037458,1.0358978445910534,-0.12789337019528446,-0.07959098926121477
